Title,Author,Price,Reviews,Weight,Language,User Rating,Pages
Analyzing Social Networks Using R,"[ Stephen P. Borgatti, Martin G. Everett, et al.]",52.21,1,1.46,English,5,384
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",[ Mark Reed],22.58,281,1.46,you will discover all you need,4,346
Excel Pivot Tables: Basic Beginners Guide to Learn Excel Pivot Tables for Data Analysis and Modeling,"[ MG Martin, Peter Prova, et al.]",,58,,,3,0
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",[ Rituraj Dixit],29.95,2,1.06,English,1,276
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","[ Paul Deitel,  and , Harvey Deitel]",97.99,297,2.83,English,4,680
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",[ Stefanie Molin],21.09,60,,English,4,716
Thematic Analysis: A Practical Guide,"[ Virginia Braun,  and , Victoria Clarke]",48.99,229,1.41,English,5,376
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),,71.91,42,30.2,English,3,745
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",[ Al Sweigart],26.49,2672,0.22,English,4,592
Data Structures and Algorithm Analysis in Java: International Edition,[ Mark Allen Weiss],69,101,1.85,English,3,640
Business Analysis For Dummies,"[ Kupe Kupersmith, Paul Mulvey, et al.]",18.39,527,1.51,English,3,384
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",[ Santos Ozoemena],11.97,21,1,English,5,216
CompTIA Data+ Study Guide: Exam DA0-001,"[ Mike Chapple,  and , Sharif Nijim]",34.49,44,1.35,English,4,368
RNA Sequencing: Principles and Data Analysis,[ Lara Ozkan],25,23,0.29,English,3,118
Analysis of Panel Data (Econometric Society Monographs),[ Cheng Hsiao],45.98,,2.01,English,1,500
R For Dummies,"[ Andrie de Vries,  and , Joris Meys]",17.99,493,1.66,English,3,432
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),[ Michael Alexander],28.49,10,1.1,English,3,384
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",,25,142,0.62,English,4,128
Decisions Over Decimals: Striking the Balance between Intuition and Information,"[ Paul F. Magnone, Christopher J. Frank, et al.]",31.3,28,1,English,5,256
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,[ Arthur Fletcher],12.99,187,0.56,English,4,129
Multilevel and Longitudinal Modeling with IBM SPSS (Quantitative Methodology Series),"[ Ronald H. Heck, Scott L. Thomas, et al.]",56.95,,2.01,English,1,484
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,[ Toby Culshaw],41.99,4,0.88,English,5,256
Time Series: A Data Analysis Approach Using R (Chapman & Hall/CRC Texts in Statistical Science),,57.34,16,,English,3,271
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,[ Meinard Müller],77.07,3,2.42,English,5,526
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),,27.99,72,1.09,English,3,306
The Model Thinker: What You Need to Know to Make Data Work for You,"[ Scott E. Page, Jamie Renell, et al.]",,463,,,4,0
Data Science Foundations Tools and Techniques (Addison-Wesley Data & Analytics Series),,28.99,57,,English,3,384
An Introduction to Categorical Data Analysis,[ Alan Agresti],121.99,54,1.52,English,3,400
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,[ Rupert Morrison],48.17,4,1.63,English,5,440
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",[ Computer Science Academy],,16,,English,3,147
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,43.52,12,1.64,English,4,402
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),[ Joseph Schmuller],22.49,19,1.6,English,3,576
Think Stats: Exploratory Data Analysis,[ Allen B. Downey],25.49,137,0.88,English,3,226
Data for All,[ John K. Thompson],49.99,,0.72,English,1,230
An Introduction to R: Data Analysis and Visualization (Research Skills),[ Mark Gardener],37.99,,,English,1,384
